open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base,taker_buy_quote,ignore,bid_volume,ask_volume,total_volume
2025-07-26 08:00:00,186.4100,187.9900,186.4100,187.9600,549552.94,2025-07-26 08:59:59.999,102905993.951080,66919,321549.3,60221482.259080,0,321549.3,228003.63999999996,549552.94
2025-07-26 09:00:00,187.9700,189.1600,187.4200,188.9400,933487.36,2025-07-26 09:59:59.999,175832065.355460,92016,502027.4,94570825.910560,0,502027.4,431459.95999999996,933487.36
2025-07-26 10:00:00,188.9400,189.7500,188.0900,188.2200,954186.81,2025-07-26 10:59:59.999,180394950.558220,99528,423808.89,80140488.511520,0,423808.89,530377.92,954186.81
2025-07-26 11:00:00,188.2100,188.5000,187.2400,187.6900,858101.65,2025-07-26 11:59:59.999,161183692.569080,83855,354699.75,66634127.012300,0,354699.75,503401.9,858101.65
2025-07-26 12:00:00,187.6900,188.4400,187.2100,187.8400,502553.74,2025-07-26 12:59:59.999,94441837.352600,57501,270657.04,50870158.440600,0,270657.04,231896.7,502553.74
2025-07-26 13:00:00,187.8400,188.1700,187.2100,187.4800,471577.52,2025-07-26 13:59:59.999,88477629.244300,51490,216232.71,40573199.402400,0,216232.71,255344.81000000003,471577.52
2025-07-26 14:00:00,187.4800,187.9100,186.1000,186.3700,728447.75,2025-07-26 14:59:59.999,136236551.693160,74139,264897.8,49565864.002000,0,264897.8,463549.95,728447.75
2025-07-26 15:00:00,186.3800,187.7100,185.9600,187.5000,749978.03,2025-07-26 15:59:59.999,140100773.728810,78902,368807.18,68930428.089160,0,368807.18,381170.85000000003,749978.03
2025-07-26 16:00:00,187.5000,187.7700,186.4100,186.7800,541918.13,2025-07-26 16:59:59.999,101376386.449900,67265,251485.41,47059159.720900,0,251485.41,290432.72,541918.13
2025-07-26 17:00:00,186.7900,186.8900,185.3200,185.5900,789748.81,2025-07-26 17:59:59.999,146810035.074970,71687,347355.43,64562639.719300,0,347355.43,442393.38000000006,789748.81
2025-07-26 18:00:00,185.6000,186.3700,184.9900,185.9600,427475.33,2025-07-26 18:59:59.999,79424441.472100,54576,229433.76,42647247.749300,0,229433.76,198041.57,427475.33
2025-07-26 19:00:00,185.9500,186.6300,185.7700,186.3800,298104.47,2025-07-26 19:59:59.999,55497347.216000,41060,151694.71,28245432.197200,0,151694.71,146409.75999999998,298104.47
2025-07-26 20:00:00,186.3800,186.4500,185.2500,185.8500,314864.34,2025-07-26 20:59:59.999,58497118.545100,42769,140922.73,26186283.203100,0,140922.73,173941.61000000002,314864.34
2025-07-26 21:00:00,185.8500,186.4300,185.3800,186.3200,236864.07,2025-07-26 21:59:59.999,44012656.098300,37044,126863.75,23582700.352900,0,126863.75,110000.32,236864.07
2025-07-26 22:00:00,186.3200,186.7500,184.7500,185.0300,631949.64,2025-07-26 22:59:59.999,117291705.016000,71392,256291.0,47610277.804400,0,256291.0,375658.64,631949.64
2025-07-26 23:00:00,185.0300,185.0500,184.1900,184.8200,516282.27,2025-07-26 23:59:59.999,95330596.615020,64236,195889.38,36179744.519000,0,195889.38,320392.89,516282.27
2025-07-27 00:00:00,184.8200,185.4700,184.4700,185.4400,327053.55,2025-07-27 00:59:59.999,60506618.922200,47010,172232.27,31868834.956400,0,172232.27,154821.28,327053.55
2025-07-27 01:00:00,185.4400,186.5400,185.0700,186.2500,483447.38,2025-07-27 01:59:59.999,89953920.172270,61734,302396.08,56269529.001470,0,302396.08,181051.3,483447.38
2025-07-27 02:00:00,186.2400,187.1100,185.7600,187.0700,349315.09,2025-07-27 02:59:59.999,65141398.630400,48517,196951.92,36741574.095300,0,196951.92,152363.17,349315.09
2025-07-27 03:00:00,187.0700,187.6000,186.1800,187.1400,533389.56,2025-07-27 03:59:59.999,99736449.837580,67078,235177.57,43971407.842380,0,235177.57,298211.99000000005,533389.56
2025-07-27 04:00:00,187.1500,187.5400,186.6000,187.4400,311783.23,2025-07-27 04:59:59.999,58326080.345700,51643,155258.29,29047015.711000,0,155258.29,156524.93999999997,311783.23
2025-07-27 05:00:00,187.4400,188.3000,187.2200,187.8000,529774.37,2025-07-27 05:59:59.999,99466713.465300,72905,265303.99,49817150.887400,0,265303.99,264470.38,529774.37
2025-07-27 06:00:00,187.8000,187.9800,186.9500,186.9900,329555.82,2025-07-27 06:59:59.999,61739882.819100,53319,148611.67,27845295.153100,0,148611.67,180944.15,329555.82
2025-07-27 07:00:00,187.0000,187.8300,186.5300,187.1500,430637.29,2025-07-27 07:59:59.999,80671850.154600,58749,210457.64,39438259.085400,0,210457.64,220179.64999999997,430637.29
2025-07-27 08:00:00,187.1500,187.4400,186.1800,186.6500,496146.87,2025-07-27 08:59:59.999,92606283.369500,62160,207504.25,38737020.114600,0,207504.25,288642.62,496146.87
2025-07-27 09:00:00,186.6600,187.3000,186.1100,186.3000,342600.09,2025-07-27 09:59:59.999,63999914.573700,54856,151263.89,28262320.953800,0,151263.89,191336.2,342600.09
2025-07-27 10:00:00,186.3100,188.4200,186.2600,187.5800,639360.3,2025-07-27 10:59:59.999,119877572.979600,74716,337907.31,63360308.023300,0,337907.31,301452.99000000005,639360.3
2025-07-27 11:00:00,187.5900,188.5300,186.7200,186.9400,696502.5,2025-07-27 11:59:59.999,130763871.913100,88967,341533.63,64127419.746500,0,341533.63,354968.87,696502.5
