Datetime,Open,High,Low,Close,tick_volume,spread,Volume
2023-10-15 22:00:00,1927.521,1927.521,1921.177,1924.391,3594,200,0
2023-10-15 23:00:00,1924.394,1926.382,1921.59,1925.836,4076,200,0
2023-10-16 00:00:00,1925.842,1925.927,1921.412,1921.645,3424,200,0
2023-10-16 01:00:00,1921.657,1923.45,1920.344,1920.448,3674,200,0
2023-10-16 02:00:00,1920.439,1921.455,1918.394,1920.434,3030,200,0
2023-10-16 03:00:00,1920.43,1920.46,1918.029,1920.027,2692,200,0
2023-10-16 04:00:00,1920.025,1920.362,1919.131,1920.097,2074,200,0
2023-10-16 05:00:00,1920.123,1920.123,1914.248,1914.958,3033,200,0
2023-10-16 06:00:00,1914.99,1915.783,1909.204,1909.875,5562,200,0
2023-10-16 07:00:00,1909.891,1912.325,1908.144,1911.418,5735,200,0
2023-10-16 08:00:00,1911.394,1913.463,1909.943,1911.597,4606,200,0
2023-10-16 09:00:00,1911.59,1916.477,1911.192,1916.125,3911,200,0
2023-10-16 10:00:00,1916.094,1918.28,1914.445,1917.888,3646,200,0
2023-10-16 11:00:00,1917.913,1918.177,1914.733,1915.566,4257,200,0
2023-10-16 12:00:00,1915.598,1924.526,1914.578,1918.674,8675,200,0
2023-10-16 13:00:00,1918.698,1921.173,1914.38,1917.94,8304,200,0
2023-10-16 14:00:00,1917.913,1920.349,1916.19,1918.111,7753,200,0
2023-10-16 15:00:00,1918.142,1922.27,1917.924,1921.454,4993,200,0
2023-10-16 16:00:00,1921.487,1921.96,1920.289,1921.858,3612,200,0
2023-10-16 17:00:00,1921.862,1922.721,1918.508,1919.108,3553,200,0
2023-10-16 18:00:00,1919.107,1919.599,1918.663,1919.016,2472,200,0
2023-10-16 19:00:00,1919.016,1920.651,1917.826,1918.942,2610,200,0
2023-10-16 20:00:00,1918.987,1920.033,1918.967,1920.031,1269,200,0
2023-10-16 22:00:00,1919.956,1920.939,1918.768,1918.831,1755,200,0
2023-10-16 23:00:00,1918.83,1921.736,1918.79,1919.386,1732,200,0
2023-10-17 00:00:00,1919.382,1919.967,1914.369,1916.568,3032,200,0
2023-10-17 01:00:00,1916.556,1917.56,1913.286,1915.054,3289,200,0
2023-10-17 02:00:00,1915.054,1915.134,1912.343,1914.743,3208,200,0
2023-10-17 03:00:00,1914.731,1916.784,1914.308,1916.784,2702,200,0
2023-10-17 04:00:00,1916.81,1916.912,1914.483,1914.638,2102,200,0
2023-10-17 05:00:00,1914.639,1916.765,1914.198,1916.383,2837,200,0
2023-10-17 06:00:00,1916.388,1918.018,1915.625,1917.336,3539,200,0
2023-10-17 07:00:00,1917.319,1921.338,1917.116,1920.005,4555,200,0
2023-10-17 08:00:00,1919.972,1920.499,1918.594,1919.134,3878,200,0
2023-10-17 09:00:00,1919.2,1923.721,1918.818,1922.945,3633,200,0
2023-10-17 10:00:00,1922.977,1926.504,1922.542,1923.418,4857,200,0
2023-10-17 11:00:00,1923.436,1925.542,1922.142,1923.993,3681,200,0
2023-10-17 12:00:00,1924.013,1928.978,1918.978,1925.985,8632,200,0
2023-10-17 13:00:00,1925.948,1931.523,1920.852,1927.786,9630,200,0
2023-10-17 14:00:00,1927.826,1930.88,1922.68,1924.001,8765,200,0
2023-10-17 15:00:00,1924.011,1926.855,1923.067,1926.817,5373,200,0
2023-10-17 16:00:00,1926.785,1926.785,1923.015,1924.061,4420,200,0
2023-10-17 17:00:00,1924.059,1925.063,1919.639,1919.745,3955,200,0
2023-10-17 18:00:00,1919.733,1922.03,1919.109,1921.962,3501,200,0
2023-10-17 19:00:00,1921.982,1925.075,1921.816,1922.585,3232,200,0
2023-10-17 20:00:00,1922.638,1923.257,1922.143,1923.168,1626,200,0
2023-10-17 22:00:00,1923.77,1925.508,1923.233,1924.865,1193,200,0
2023-10-17 23:00:00,1924.899,1925.429,1924.058,1924.702,1500,200,0
